^yb1 ䷀乾:	Qian:
象傳:	Xiang Zhuan:
九五之吉，位正中也。	'The good fortune of (the subject of) the fifth NINE, undivided,' is owing to its correct position and its being in the centre.
7 ䷸巽:	Xun:
上九：巽在床下，	The sixth NINE, undivided, shows the representative of penetration beneath a couch, 
喪其資斧，貞凶。	and having lost the axe with which he executed his decisions. However firm and correct he may (try to) be, there will be evil.
象傳:	Xiang Zhuan:
巽在床下，上窮也。	'The representative of penetration is beneath a couch:' - though occupying the topmost place, his powers are exhausted. 
喪其資斧，正乎凶也。	'He has lost the axe with which he executed his decisions:' - though he try to be correct, there will be evil.
^yb58 ䷹兌:	Dui:
兌：亨，利貞。	Dui intimates that (under its conditions) there will be progress and attainment. (But) it will be advantageous to be firm and correct.
彖傳:	Tuan Zhuan:
兌，說也。	Dui has the meaning of pleased satisfaction. 
剛中而柔外，說以利貞，	(We have) the strong (lines) in the centre, and the weak (lines) on the outer edge (of the two trigrams), (indicating that) in pleasure what is most advantageous is the maintenance of firm correctness. 
是以順乎天，而應乎人。	Through this there will be found an accordance with (the will of) heaven, and a correspondence with (the feelings of) men. 
說以先民，民忘其勞；	When (such) pleasure goes before the people, (and leads them on), they forget their toils; 
說以犯難，民忘其死；	when it animates them in encountering difficulties, they forget (the risk of) death. 
說之大，民勸矣哉！	How great is (the power of) this pleased satisfaction, stimulating in such a way the people!
象傳:	Xiang Zhuan:
麗澤，兌；	(Two symbols representing) the waters of a marsh, one over the other, form Dui. 
君子以朋友講習。	The superior man, in accordance with this, (encourages) the conversation of friends and (the stimulus of) their (common) practice.
2 ䷹兌:	Dui:
初九：和兌，吉。	The first NINE, undivided, shows the pleasure of (inward) harmony. There will be good fortune.
象傳:	Xiang Zhuan:
和兌之吉，行未疑也。	'The good fortune attached to the pleasure of (inward) harmony' arises from there being nothing in the conduct (of the subject of the line) to awaken doubt.
3 ䷹兌:	Dui:
九二：孚兌，吉，悔亡。	The second NINE, undivided, shows the pleasure arising from (inward) sincerity. There will be good fortune. Occasion for repentance will disappear.
象傳:	Xiang Zhuan:
孚兌之吉，信志也。	'The good fortune attached to the pleasure arising from (inward sincerity)' is due to the confidence felt in the object (of the subject of the line).
4 ䷹兌:	Dui:
六三：來兌，凶。	The third SIX, divided, shows its subject bringing round himself whatever can give pleasure. There will be evil.
象傳:	Xiang Zhuan:
來兌之凶，位不當也。	'The evil predicated of one's bringing around himself whatever can give pleasure' is shown by the inappropriateness of the place (of the line).
5 ䷹兌:	Dui:
九四：商兌，未寧，介疾有喜。	The fourth NINE, undivided, shows its subject deliberating about what to seek his pleasure in, and not at rest. He borders on what would be injurious, but there will be cause for joy.
象傳:	Xiang Zhuan:
九四之喜，有慶也。	'The joy in connexion with (the subject of) the fourth NINE, (undivided): is due to the happiness (which he will produce).
6 ䷹兌:	Dui:
九五：孚于剝，有厲。	The fifth NINE, undivided, shows its subject trusting in one who would injure him. The situation is perilous.
象傳:	Xiang Zhuan:
孚于剝，位正當也。	'He trusts in one who would injure him:' - his place is that which is correct and appropriate.
7 ䷹兌:	Dui:
上六：引兌。	The topmost SIX, divided, shows the pleasure of its subject in leading and attracting others.
象傳:	Xiang Zhuan:
上六引兌，未光也。	'The topmost SIX, (divided), shows the pleasure (of its subject) in leading and attracting others:' - his (virtue) is not yet brilliant.
^yb59 ䷺渙:	Huan:
渙：亨。	Huan intimates that (under its conditions) there will be progress and success. 
王假有廟，利涉大川，利貞。	The king goes to his ancestral temple; and it will be advantageous to cross the great stream. It will be advantageous to be firm and correct.
彖傳:	Tuan Zhuan:
渙，亨。	'Huan intimates that there will be progress and success:' - 
剛來而不窮，柔得位乎外而上同。	(we see) the strong line (in the second place) of the lower trigram, and not suffering any extinction there; and (also) the weak line occupying its place in the outer trigram, and uniting (its action) with that of the line above. 
王假有廟，王乃在中也。	'The king goes to his ancestral temple:' - the king's (mind) is without any deflection. 
利涉大川，乘木有功也。	'It will be advantageous to cross the great stream:' - (the subject of the hexagram) rides in (a vessel of) wood (over water), and will do so with success.
象傳:	Xiang Zhuan:
風行水上，渙；	(The trigram representing) water and that for wind moving above the water form Huan. 
先王以享于帝立廟。	The ancient kings, in accordance with this, presented offerings to God and established the ancestral temple.
2 ䷺渙:	Huan:
初六：用拯馬壯，吉。	The first SIX, divided, shows its subject engaged in rescuing (from the impending evil) and having (the assistance of) a strong horse. There will be good fortune.
象傳:	Xiang Zhuan:
初六之吉，順也。	'The good fortune attached to the first six, divided),'is due to the natural course (pursued by its subject).
3 ䷺渙:	Huan:
九二：渙奔其机，悔亡。	The second NINE, undivided, shows its subject, amid the dispersion, hurrying to his contrivance (for security). All occasion for repentance will disappear.
象傳:	Xiang Zhuan:
渙奔其机，得愿也。	'Amidst the prevailing dispersion, he hurries to his contrivance (for security):' - he gets what he desires.
4 ䷺渙:	Huan:
六三：渙其躬，无悔。	The third SIX, divided, shows its subject discarding any regard to his own person. There will be no occasion for repentance.
象傳:	Xiang Zhuan:
渙其躬，志在外也。	'He has no regard to his own person:' - his aim is directed to what is external to himself.
5 ䷺渙:	Huan:
六四：渙其群，元吉。	The fourth SIX, divided, shows its subject scattering the (different) parties (in the state); which leads to great good fortune. 
渙有丘，匪夷所思。	From the dispersion (he collects again good men standing out, a crowd) like a mound, which is what ordinary men would not have thought of.
象傳:	Xiang Zhuan:
渙其群，元吉；光大也。	'He scatters the (different) parties (in the state), and there is great good fortune:' - brilliant and great (are his virtue and service).
6 ䷺渙:	Huan:
九五：渙汗其大號，渙王居，无咎。	The fifth NINE, undivided, shows its subject amidst the dispersion issuing his great announcements as the perspiration (flows from his body). He scatters abroad (also) the accumulations in the royal granaries. There will be no error.
象傳:	Xiang Zhuan:
王居无咎，正位也。	'The accumulations of the royal (granaries) are dispersed, and there is no error:' - this is due to the correctness of the position.
7 ䷺渙:	Huan:
上九：渙其血，去逖出，无咎。	The topmost NINE, undivided, shows its subject disposing of (what may be called) its bloody wounds, and going and separating himself from its anxious fears. There will be no error.
象傳:	Xiang Zhuan:
渙其血，遠害也。	'His bloody wounds are gone:' - he is far removed from the danger of injury.
^yb60 ䷻節:	Jie:
節：亨。苦節，不可貞。	Jie intimates that (under its conditions) there will be progress and attainment. (But) if the regulations (which it prescribes) be severe and difficult, they cannot be permanent.
彖傳:	Tuan Zhuan:
節，亨，剛柔分，而剛得中。	'Jie intimates progress and attainment:' - the strong and weak (lines) are equally divided, and the strong lines occupy the central places. 
苦節不可貞，其道窮也。	'If the regulations (which Jie prescribes) be severe and difficult, they cannot be permanent:' - its course (of action) will in that case come to an end. 
說以行險，當位以節，中正以通。	(We have the feeling of) pleasure and satisfaction directing the course amidst peril. (We have) all regulations controlled (by authority) in its proper place. (We have) free action proceeding from the central and correct position. 
天地節而四時成，	Heaven and earth observe their regular terms, and we have the four seasons complete. 
